Group,Data Name,Data Type,Length,Format,Allowed Values,Source,Destination,Description
D1: Study Area,aoi_id,Integer,4 Bytes,Numeric,1 to 2147483647,GIS Analyst,Data Store D1,Primary key identifying AOI boundary
D1: Study Area,area_name,String,100 Chars,Alphanumeric,Valid place names,System Admin,Web UI,Human-readable name of coastal region
D1: Study Area,boundary_shapefile_path,String,255 Chars,File Path,.shp file path,User Upload,Process 1.0,Absolute file path to AOI vector polygon
D1: Study Area,crs_projection,String,50 Chars,Standard String,EPSG codes,GIS Meta File,Process 1.0,Coordinate reference system definition
D1/D2: Scene,scene_id,Integer,4 Bytes,Numeric,1 to 2147483647,Sentinel Hub,Data Store D1,Primary key for satellite scene
D1/D2: Scene,acquisition_date,Date,10 Chars,YYYY-MM-DD,Historical dates,Satellite Metadata,Process 1.0,Sensing date of satellite imagery
D1/D2: Scene,year,Integer,2 Bytes,YYYY,2015 to Present,Metadata,Process 2.0,Calendar year of capture
D1/D2: Scene,cloud_cover_pct,Decimal,4 Bytes,FF.FF,0.00 to 100.00,Metadata,Process 1.0,Cloud coverage percentage
D1/D2: Scene,geotiff_file_path,String,255 Chars,File Path,.tif path,Data Store D1,Process 1.0,File location of 4-band raw raster
D1/D2: Scene,NDVI,Decimal,4 Bytes,S.FFFF,-1.0000 to +1.0000,Process 1.0,Data Store D2,Calculated Normalized Difference Vegetation Index
D2/D3: Deep Learning,patch_id,BigInt,8 Bytes,Numeric,1 to 2^63-1,Process 1.0,Data Store D2,Primary key for extracted sub-image tile
D2/D3: Deep Learning,patch_size,Integer,2 Bytes,Numeric,128 / 256 / 512,Configuration,Process 2.0,Patch dimensions (W x H)
D2/D3: Deep Learning,stride,Integer,2 Bytes,Numeric,1 to 256,Configuration,Process 1.0,Sliding window step size
D2/D3: Deep Learning,image_patch_path,String,255 Chars,File Path,.npy / .h5 path,Process 1.0,Data Store D2,Path to 5-channel patch array
D2/D3: Deep Learning,label_patch_path,String,255 Chars,File Path,.npy / .png path,Process 1.0,Data Store D2,Path to binary ground truth label patch
D2/D3: Deep Learning,model_id,Integer,4 Bytes,Numeric,1 to 2147483647,Process 2.0,Data Store D3,Primary key for trained U-Net checkpoint
D2/D3: Deep Learning,model_name,String,50 Chars,String,Free form,Configuration,Data Store D3,Model architecture version name
D2/D3: Deep Learning,weights_file_path,String,255 Chars,File Path,.h5 path,Process 2.0,Data Store D3,File location of serialized model weights
D4: Binary Mask,mask_id,Integer,4 Bytes,Numeric,1 to 2147483647,Process 2.0,Data Store D4,Primary key for generated binary mask
D4: Binary Mask,target_year,Integer,2 Bytes,YYYY,2015 to Present,Process 2.0,Data Store D4,Year represented by binary map
D4: Binary Mask,threshold_value,Decimal,2 Bytes,F.FF,0.00 to 1.00,Configuration,Process 2.0,Probability cutoff for classification
D4: Binary Mask,binary_raster_path,String,255 Chars,File Path,.tif path,Process 2.0,Data Store D4,File path to 1-band binary GeoTIFF raster
D5: Change Analysis,analysis_id,Integer,4 Bytes,Numeric,1 to 2147483647,Process 3.0,Data Store D5,Primary key for change analysis run
D5: Change Analysis,baseline_mask_id,Integer,4 Bytes,Numeric,Foreign Key,User / System,Process 3.0,Mask ID for baseline year T1
D5: Change Analysis,target_mask_id,Integer,4 Bytes,Numeric,Foreign Key,User / System,Process 3.0,Mask ID for target year T2
D5: Change Analysis,change_matrix_path,String,255 Chars,File Path,.tif path,Process 3.0,Data Store D5,File path to 4-class categorical change map
D5: Change Analysis,stable_hectares,Decimal,8 Bytes,FFFFFF.FF,>= 0.00,Process 3.0,Web UI,Persistent mangrove area in ha
D5: Change Analysis,loss_hectares,Decimal,8 Bytes,FFFFFF.FF,>= 0.00,Process 3.0,Web UI,Deforested mangrove area in ha
D5: Change Analysis,gain_hectares,Decimal,8 Bytes,FFFFFF.FF,>= 0.00,Process 3.0,Web UI,Regenerated mangrove area in ha
D5: Change Analysis,net_change_hectares,Decimal,8 Bytes,SFFFFFF.FF,Real numbers,Process 3.0,Web UI,Net area change (Gain - Loss)
UI / Output,report_id,Integer,4 Bytes,Numeric,1 to 2147483647,Process 4.0,Storage,Primary key for generated PDF report
UI / Output,generated_at,DateTime,19 Chars,YYYY-MM-DD HH:MM:SS,Past/Current dates,System Time,Output PDF,Timestamp when PDF report was compiled
UI / Output,pdf_file_path,String,255 Chars,File Path,.pdf path,Process 4.0,Browser Download,Server file location of PDF summary
